PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"22912433","UDP-glucuronic acid binds first and the aglycone substrate binds second to form a ternary complex in UGT1A9-catalyzed reactions, in both the presence and absence of bovine serum albumin","Manevski N, Yli-Kauhaluoma J, Finel M.","Drug Metab Dispos. 2012 Nov;40(11):2192-203. doi: 10.1124/dmd.112.047746. Epub 2012 Aug 21.","Manevski N","Drug Metab Dispos","2012","2012/08/23","","","10.1124/dmd.112.047746"
"22418259","Kinetic mechanism of fuculose-1-phosphate aldolase from the hyperthermophilic archaeon Methanococcus jannaschii","Park HC, Park JS, Choi JD, Dabrowski M, Atkins WM, Yoon MY.","Enzyme Microb Technol. 2012 Apr 5;50(4-5):209-14. doi: 10.1016/j.enzmictec.2012.01.001. Epub 2012 Jan 17.","Park HC","Enzyme Microb Technol","2012","2012/03/16","","","10.1016/j.enzmictec.2012.01.001"
"21354323","An in vivo data-driven framework for classification and quantification of enzyme kinetics and determination of apparent thermodynamic data","Canelas AB, Ras C, ten Pierick A, van Gulik WM, Heijnen JJ.","Metab Eng. 2011 May;13(3):294-306. doi: 10.1016/j.ymben.2011.02.005. Epub 2011 Feb 24.","Canelas AB","Metab Eng","2011","2011/03/01","","","10.1016/j.ymben.2011.02.005"
"21322582","Real time detection of lysozyme by pulsed streaming potentials using polyclonal antibodies immobilized on a renewable nonfouling surface inside plastic microfluidic channels","Luna-Vera F, Ferguson JD, Alvarez JC.","Anal Chem. 2011 Mar 15;83(6):2012-9. doi: 10.1021/ac102769j. Epub 2011 Feb 15.","Luna-Vera F","Anal Chem","2011","2011/02/17","","","10.1021/ac102769j"
"21128656","The tightly bound calcium of MauG is required for tryptophan tryptophylquinone cofactor biosynthesis","Shin S, Feng M, Chen Y, Jensen LM, Tachikawa H, Wilmot CM, Liu A, Davidson VL.","Biochemistry. 2011 Jan 11;50(1):144-50. doi: 10.1021/bi101819m. Epub 2010 Dec 13.","Shin S","Biochemistry","2011","2010/12/07","PMC3061978","NIHMS257810","10.1021/bi101819m"
"20615712","Targeting the ICB2 site of the topoisomerase IIalpha promoter with a formamido-pyrrole-imidazole-pyrrole H-pin polyamide","Franks A, Tronrud C, Kiakos K, Kluza J, Munde M, Brown T, Mackay H, Wilson WD, Hochhauser D, Hartley JA, Lee M.","Bioorg Med Chem. 2010 Aug 1;18(15):5553-61. doi: 10.1016/j.bmc.2010.06.041. Epub 2010 Jun 17.","Franks A","Bioorg Med Chem","2010","2010/07/10","","","10.1016/j.bmc.2010.06.041"
"20564571","Site-directed mutagenesis of rice serine racemase: evidence that Glu219 and Asp225 mediate the effects of Mg2+ on the activity","Gogami Y, Kobayashi A, Ikeuchi T, Oikawa T.","Chem Biodivers. 2010 Jun;7(6):1579-90. doi: 10.1002/cbdv.200900257.","Gogami Y","Chem Biodivers","2010","2010/06/22","","","10.1002/cbdv.200900257"
"20429582","The human estrogen sulfotransferase: a half-site reactive enzyme","Sun M, Leyh TS.","Biochemistry. 2010 Jun 15;49(23):4779-85. doi: 10.1021/bi902190r.","Sun M","Biochemistry","2010","2010/05/01","PMC2913251","NIHMS208216","10.1021/bi902190r"
"20361728","Phosphorylation of the transcription factor Ets-1 by ERK2: rapid dissociation of ADP and phospho-Ets-1","Callaway K, Waas WF, Rainey MA, Ren P, Dalby KN.","Biochemistry. 2010 May 4;49(17):3619-30. doi: 10.1021/bi100199q.","Callaway K","Biochemistry","2010","2010/04/06","PMC2868174","NIHMS195889","10.1021/bi100199q"
"19928876","Characterization of thermophilic archaeal isopentenyl phosphate kinases","Chen M, Poulter CD.","Biochemistry. 2010 Jan 12;49(1):207-17. doi: 10.1021/bi9017957.","Chen M","Biochemistry","2010","2009/11/26","PMC3856865","NIHMS526095","10.1021/bi9017957"
"19226119","Intramolecular electron transfer in sulfite-oxidizing enzymes: elucidating the role of a conserved active site arginine","Emesh S, Rapson TD, Rajapakshe A, Kappler U, Bernhardt PV, Tollin G, Enemark JH.","Biochemistry. 2009 Mar 17;48(10):2156-63. doi: 10.1021/bi801553q.","Emesh S","Biochemistry","2009","2009/02/20","PMC2765491","NIHMS96346","10.1021/bi801553q"
"19191546","Loop-tryptophan human purine nucleoside phosphorylase reveals submillisecond protein dynamics","Ghanem M, Zhadin N, Callender R, Schramm VL.","Biochemistry. 2009 Apr 28;48(16):3658-68. doi: 10.1021/bi802339c.","Ghanem M","Biochemistry","2009","2009/02/05","PMC2674222","NIHMS93015","10.1021/bi802339c"
"19166306","Substrate binding preferences and pka determinations of a nitrile hydratase model complex: variable solvent coordination to [(bmmp-TASN)Fe]OTf","O'Toole MG, Bennett B, Mashuta MS, Grapperhaus CA.","Inorg Chem. 2009 Mar 2;48(5):2300-8. doi: 10.1021/ic802180d.","O'Toole MG","Inorg Chem","2009","2009/01/27","PMC2754792","NIHMS108137","10.1021/ic802180d"
"19003566","Substrate specificity of thymidine phosphorylase of E. coli: role of hydroxyl groups","Panova NG, Alexeev CS, Polyakov KM, Gavryushov SA, Kritzyn AM, Mikhailov SN.","Nucleosides Nucleotides Nucleic Acids. 2008 Dec;27(12):1211-4. doi: 10.1080/15257770802257895.","Panova NG","Nucleosides Nucleotides Nucleic Acids","2008","2008/11/13","","","10.1080/15257770802257895"
"18672356","Synthetic peptides as artificial receptors towards proteins from genetically modified organisms","Tozzi C, Anfossi L, Baggiani C, Giovannoli C, Giraudi G.","Biosens Bioelectron. 2008 Nov 15;24(3):493-7. doi: 10.1016/j.bios.2008.06.035. Epub 2008 Jul 3.","Tozzi C","Biosens Bioelectron","2008","2008/08/02","","","10.1016/j.bios.2008.06.035"
"18385129","Metabolism of the folate precursor p-aminobenzoate in plants: glucose ester formation and vacuolar storage","Eudes A, Bozzo GG, Waller JC, Naponelli V, Lim EK, Bowles DJ, Gregory JF 3rd, Hanson AD.","J Biol Chem. 2008 May 30;283(22):15451-9. doi: 10.1074/jbc.M709591200. Epub 2008 Apr 2.","Eudes A","J Biol Chem","2008","2008/04/04","PMC2397476","","10.1074/jbc.M709591200"
"18354785","Comprehensive analysis of the metabolome of Pseudomonas putida S12 grown on different carbon sources","van der Werf MJ, Overkamp KM, Muilwijk B, Koek MM, van der Werff-van der Vat BJ, Jellema RH, Coulier L, Hankemeier T.","Mol Biosyst. 2008 Apr;4(4):315-27. doi: 10.1039/b717340g. Epub 2008 Feb 29.","van der Werf MJ","Mol Biosyst","2008","2008/03/21","","","10.1039/b717340g"
"18353654","Modifying the N-terminus of polyamides: PyImPyIm has improved sequence specificity over f-ImPyIm","Brown T, Mackay H, Turlington M, Sutterfield A, Smith T, Sielaff A, Westrate L, Bruce C, Kluza J, O'Hare C, Nguyen B, Wilson WD, Hartley JA, Lee M.","Bioorg Med Chem. 2008 May 1;16(9):5266-76. doi: 10.1016/j.bmc.2008.03.008. Epub 2008 Mar 7.","Brown T","Bioorg Med Chem","2008","2008/03/21","","","10.1016/j.bmc.2008.03.008"
"18235971","Properties of serine:glyoxylate aminotransferase purified from Arabidopsis thaliana leaves","Kendziorek M, Paszkowski A.","Acta Biochim Biophys Sin (Shanghai). 2008 Feb;40(2):102-10. doi: 10.1111/j.1745-7270.2008.00383.x.","Kendziorek M","Acta Biochim Biophys Sin (Shanghai)","2008","2008/02/01","","","10.1111/j.1745-7270.2008.00383.x"
"18083873","Enzymic approach to eurythermalism of Alvinella pompejana and its episymbionts","Lee CK, Cary SC, Murray AE, Daniel RM.","Appl Environ Microbiol. 2008 Feb;74(3):774-82. doi: 10.1128/AEM.01960-07. Epub 2007 Dec 14.","Lee CK","Appl Environ Microbiol","2008","2007/12/18","PMC2227733","","10.1128/AEM.01960-07"
"18047826","Quantitative effects of allosteric ligands and mutations on conformational equilibria in Salmonella typhimurium tryptophan synthase","Phillips RS, McPhie P, Miles EW, Marchal S, Lange R.","Arch Biochem Biophys. 2008 Feb 1;470(1):8-19. doi: 10.1016/j.abb.2007.11.003. Epub 2007 Nov 17.","Phillips RS","Arch Biochem Biophys","2008","2007/12/01","","","10.1016/j.abb.2007.11.003"
"17848571","Elucidation of a complete kinetic mechanism for a mammalian hydroxysteroid dehydrogenase (HSD) and identification of all enzyme forms on the reaction coordinate: the example of rat liver 3alpha-HSD (AKR1C9)","Cooper WC, Jin Y, Penning TM.","J Biol Chem. 2007 Nov 16;282(46):33484-33493. doi: 10.1074/jbc.M703414200. Epub 2007 Sep 11.","Cooper WC","J Biol Chem","2007","2007/09/13","","","10.1074/jbc.M703414200"
"17696873","Human wild-type alanine:glyoxylate aminotransferase and its naturally occurring G82E variant: functional properties and physiological implications","Cellini B, Bertoldi M, Montioli R, Paiardini A, Borri Voltattorni C.","Biochem J. 2007 Nov 15;408(1):39-50. doi: 10.1042/BJ20070637.","Cellini B","Biochem J","2007","2007/08/19","PMC2049084","","10.1042/BJ20070637"
"17550271","The relationship of the redox potentials of thioredoxin and thioredoxin reductase from Drosophila melanogaster to the enzymatic mechanism: reduced thioredoxin is the reductant of glutathione in Drosophila","Cheng Z, Arscott LD, Ballou DP, Williams CH Jr.","Biochemistry. 2007 Jul 3;46(26):7875-85. doi: 10.1021/bi700442r. Epub 2007 Jun 6.","Cheng Z","Biochemistry","2007","2007/06/07","","","10.1021/bi700442r"
"17508726","2-Hydroxychromene-2-carboxylic acid isomerase: a kappa class glutathione transferase from Pseudomonas putida","Thompson LC, Ladner JE, Codreanu SG, Harp J, Gilliland GL, Armstrong RN.","Biochemistry. 2007 Jun 12;46(23):6710-22. doi: 10.1021/bi700356u. Epub 2007 May 18.","Thompson LC","Biochemistry","2007","2007/05/19","","","10.1021/bi700356u"
"17360385","Nature of hydrogen interactions with Ni(II) complexes containing cyclic phosphine ligands with pendant nitrogen bases","Wilson AD, Shoemaker RK, Miedaner A, Muckerman JT, DuBois DL, DuBois MR.","Proc Natl Acad Sci U S A. 2007 Apr 24;104(17):6951-6. doi: 10.1073/pnas.0608928104. Epub 2007 Mar 8.","Wilson AD","Proc Natl Acad Sci U S A","2007","2007/03/16","PMC1855379","","10.1073/pnas.0608928104"
"17254853","Basis for the equilibrium constant in the interconversion of l-lysine and l-beta-lysine by lysine 2,3-aminomutase","Chen D, Tanem J, Frey PA.","Biochim Biophys Acta. 2007 Feb;1774(2):297-302. doi: 10.1016/j.bbapap.2006.12.002. Epub 2006 Dec 20.","Chen D","Biochim Biophys Acta","2007","2007/01/27","PMC2045507","NIHMS18416","10.1016/j.bbapap.2006.12.002"
"17223711","Complete kinetic mechanism of homoisocitrate dehydrogenase from Saccharomyces cerevisiae","Lin Y, Alguindigue SS, Volkman J, Nicholas KM, West AH, Cook PF.","Biochemistry. 2007 Jan 23;46(3):890-8. doi: 10.1021/bi062067q.","Lin Y","Biochemistry","2007","2007/01/17","PMC2527762","NIHMS61809","10.1021/bi062067q"
"17190832","Arabidopsis isochorismate synthase functional in pathogen-induced salicylate biosynthesis exhibits properties consistent with a role in diverse stress responses","Strawn MA, Marr SK, Inoue K, Inada N, Zubieta C, Wildermuth MC.","J Biol Chem. 2007 Feb 23;282(8):5919-33. doi: 10.1074/jbc.M605193200. Epub 2006 Dec 26.","Strawn MA","J Biol Chem","2007","2006/12/28","","","10.1074/jbc.M605193200"
